ACC_MONTH,TOT_PAID,EST_COST,NBR_CASE,NBR_KEY_CASE,NBR_OTHER
10/31/2021,2244633.473,2340832.344,34,5,29
11/30/2021,2661734.979,3144961.21,54,19,35
12/31/2021,2933614.86,1478894.668,35,7,28
1/31/2022,2747271.537,2716352.065,40,10,30
2/28/2022,2658483.98,2439887.732,52,17,35
3/31/2022,3113429.439,2124246.626,53,20,33
4/30/2022,2765410.42,2909220.885,64,16,48
5/31/2022,2870042.89,2064729.91,43,10,33
6/30/2022,2654792.359,2442759.869,56,23,33
7/31/2022,2711231.153,1084939.88,25,4,21
8/31/2022,2502720.383,1887930.45,47,19,28
9/30/2022,2445651.618,3137573.98,62,26,36
10/31/2022,2503438.646,2047855.362,44,19,25
11/30/2022,2529835.251,3235523.19,56,18,38
12/31/2022,2293492.634,2131180.01,52,26,26
1/31/2023,2973626.776,2607551.54,40,14,26
2/28/2023,2641700.457,3052788.58,56,15,41
3/31/2023,2793751.621,3042895.71,61,18,43
4/30/2023,2721437.718,1022852.888,32,10,22
5/31/2023,2690949.76,3311208.47,63,22,41
6/30/2023,2339555,3080543.12,52,21,31
7/31/2023,2124597.798,2217186.32,46,16,30
8/31/2023,2222328.633,3877192.63,48,13,35
9/30/2023,2905632.278,3221570.367,54,26,28
10/31/2023,2410403.87,3113207.74,55,22,33
11/30/2023,2852627.062,2878958.81,45,19,26
12/31/2023,2466894.43,2104117.68,36,10,26
1/31/2024,2998175.383,2843154.1,53,22,31
2/29/2024,3070215.952,3079523.66,58,22,36
3/31/2024,2457291.25,2926001.911,54,23,31
4/30/2024,2529812.499,2391873.556,51,22,29
5/31/2024,3189865.927,3131958.56,57,17,40
6/30/2024,2618945.194,3407866.06,54,14,40
7/31/2024,2697226.83,2726852.25,39,10,29
8/31/2024,2920508.557,1792933.271,36,9,27
9/30/2024,2662648.961,2967290.695,37,10,27
10/31/2024,2630048.147,2656318.21,64,20,44
11/30/2024,2297321.14,3417666.784,46,14,32
12/31/2024,2361155.317,2071062.16,48,16,32
1/31/2025,2867410.915,3073348.775,55,19,36
2/28/2025,3052585.793,3173980.76,50,18,32
