ACC_MONTH,FISCAL_YEAR,ACCOUNTING_PERIOD,TOT_PAID,BUDGET_AMT,NBR_CASE,NBR_MURDER,NBR_OTHER
2/29/2020,2019,11,1289924.83,2690755.758,40,8,21
3/31/2020,2019,12,2616185.31,3335218.781,82,19,51
4/30/2020,2020,1,2656716.48,2082052.161,73,18,58
5/31/2020,2020,2,1516910.72,2530530.32,58,18,41
6/30/2020,2020,3,982266.28,1925620.28,63,5,46
7/31/2020,2020,4,1229852.67,1645811.62,32,11,24
8/31/2020,2020,5,985374.84,2581391.757,35,21,28
9/30/2020,2020,6,1422751.82,2037140.015,59,10,46
10/31/2020,2020,7,1618674.85,2556454.233,40,15,25
11/30/2020,2020,8,1674978.67,2908845.533,40,14,25
12/31/2020,2020,9,1541133.31,2303483.028,54,18,39
1/31/2021,2020,10,2091456.27,2728605.27,46,19,35
2/28/2021,2020,11,2011336.87,2628696.512,52,8,36
3/31/2021,2020,12,1823234.14,1940096.01,44,11,31
4/30/2021,2021,1,1694205.9,2529772.455,62,9,42
5/31/2021,2021,2,2077831.93,1186189.639,45,22,34
6/30/2021,2021,3,1468225.88,2786112.2,56,21,36
7/31/2021,2021,4,1566813.21,3094625.371,55,8,43
8/31/2021,2021,5,1434771.42,1612281.29,53,16,40
9/30/2021,2021,6,2094795.68,2372503.355,51,19,31
10/31/2021,2021,7,2004625.36,2991259.893,34,31,29
11/30/2021,2021,8,2174466.74,2419945.273,54,15,35
12/31/2021,2021,9,2442210.88,2147558.449,35,17,28
1/31/2022,2021,10,2330815.38,3074563.702,40,17,30
2/28/2022,2021,11,2421085.36,2425264.835,52,8,35
3/31/2022,2021,12,2514404.64,2520745.955,53,7,33
4/30/2022,2022,1,2446739.48,2725533.554,64,13,48
5/31/2022,2022,2,2441604.89,2766974.401,43,15,33
6/30/2022,2022,3,1925807.55,2297292.832,56,15,33
7/31/2022,2022,4,2033204.28,3165732.824,25,15,21
8/31/2022,2022,5,1928347.96,2340832.344,47,11,28
9/30/2022,2022,6,1548099.3,3144961.21,62,16,36
10/31/2022,2022,7,1858951.59,1478894.668,44,13,25
11/30/2022,2022,8,1700787.46,2716352.065,56,20,38
12/31/2022,2022,9,2132207.16,2439887.732,52,11,26
1/31/2023,2022,10,2556658.3,2124246.626,40,20,26
2/28/2023,2022,11,2066868.09,2909220.885,56,12,41
3/31/2023,2022,12,2386457.31,2064729.91,61,13,43
4/30/2023,2023,1,2078173.5,2442759.869,32,20,22
5/31/2023,2023,2,2325673.15,1084939.88,63,5,41
6/30/2023,2023,3,1852175.06,1887930.45,52,19,31
7/31/2023,2023,4,1921717.36,3137573.98,46,7,30
8/31/2023,2023,5,1446480.26,2047855.362,48,10,35
9/30/2023,2023,6,2270045.94,3235523.19,54,17,28
10/31/2023,2023,7,1786991.95,2131180.01,55,20,33
11/30/2023,2023,8,2000769.8,2607551.54,45,16,26
12/31/2023,2023,9,2054317.8,3052788.58,36,10,26
1/31/2024,2023,10,2576562.57,3042895.71,53,23,31
2/29/2024,2023,11,2389917.93,1022852.888,58,4,36
3/31/2024,2023,12,1613714.32,3311208.47,54,19,31
4/30/2024,2024,1,2487742.59,3080543.12,51,26,29
5/31/2024,2024,2,2581158.45,2217186.32,57,19,40
6/30/2024,2024,3,1704088.77,3877192.63,54,18,40
7/31/2024,2024,4,2315878.7,3221570.367,39,26,29
8/31/2024,2024,5,1710478.78,3113207.74,36,14,27
9/30/2024,2024,6,1577852.82,2878958.81,37,15,27
10/31/2024,2024,7,1708064.91,2104117.68,64,18,44
11/30/2024,2024,8,1326014.32,2843154.1,46,10,32
12/31/2024,2024,9,1659811.14,3079523.66,48,22,32
1/31/2025,2024,10,2131294.37,2926001.911,55,21,36
2/28/2025,2024,11,2398968.34,2391873.556,50,16,32
,,,,3131958.56,,13,
,,,,3407866.06,,26,
,,,,2726852.25,,22,
,,,,1792933.271,,19,
,,,,2967290.695,,10,
,,,,2656318.21,,22,
,,,,3417666.784,,22,
,,,,2071062.16,,23,
,,,,3073348.775,,22,
,,,,3173980.76,,17,
,,,,,,14,
,,,,,,10,
,,,,,,9,
,,,,,,10,
,,,,,,20,
,,,,,,14,
,,,,,,16,
,,,,,,19,
,,,,,,18,
