ds,Actual_TOT_PAID,Prediction_TOT_PAID,Prediction_TOT_PAID_lower,Prediction_TOT_PAID_upper,source,Actual_BUDGET_AMT,Forecast_BUDGET_AMT,Actual_NBR_MURDER,Forecast_NBR_MURDER,model_run_datetime
2/28/2015,1812800.17,1975497.198,1500404.533,2411584.093,Fitted,3181166.224,2438822.57,12,12.36252437,3/22/2025 16:08
3/31/2015,2280071.14,2035244.398,1535979.204,2521295.077,Fitted,2792862.4,2607968.473,15,14.17253077,3/22/2025 16:08
4/30/2015,2268000.62,2184718.965,1733432.124,2632925.812,Fitted,2036438.798,2356257.188,13,13.36401699,3/22/2025 16:08
5/31/2015,2296895.1,2063993.815,1626608.143,2509092.512,Fitted,3073630.96,2287726.447,13,13.37875149,3/22/2025 16:08
6/30/2015,2560899.1,1933166.728,1492985.303,2408712.015,Fitted,2293476.359,2270749.621,11,13.88360211,3/22/2025 16:08
7/31/2015,2921974.55,2193699.484,1722788.935,2670591.923,Fitted,2004424.244,2163475.772,6,9.00408436,3/22/2025 16:08
8/31/2015,2162138.14,1771056.563,1287815.108,2208620.258,Fitted,2156796.2,2192474.559,11,10.27020836,3/22/2025 16:08
9/30/2015,1539331.38,1623026.015,1178722.605,2115240.557,Fitted,2090915.083,2423848.847,15,13.37860235,3/22/2025 16:08
10/31/2015,1933027.15,1780464.466,1284445.72,2266733.739,Fitted,1500551.648,2273281.022,3,12.84068192,3/22/2025 16:08
11/30/2015,1972425.92,1914679.263,1444848.133,2392148.813,Fitted,3941170.846,2471275.987,14,12.76177948,3/22/2025 16:08
12/31/2015,1992113.37,1905271.836,1433743.267,2368900.292,Fitted,1453386.65,1993241.506,8,10.37313,3/22/2025 16:08
1/31/2016,2221328.92,2089296.025,1605361.632,2574006.227,Fitted,2096546.766,2516796.978,17,12.9293625,3/22/2025 16:08
2/29/2016,1660954.45,1999476.508,1535236.462,2463214.571,Fitted,1648925.19,2418406.662,10,12.95667495,3/22/2025 16:08
3/31/2016,1940317.92,2043226.299,1591616.026,2506678.267,Fitted,2296818.55,2608538.432,10,14.72596748,3/22/2025 16:08
4/30/2016,1900619.06,2181657.1,1735070.024,2661937.924,Fitted,2330669.011,2441283.062,9,13.80226964,3/22/2025 16:08
5/31/2016,1813296.63,2074968.296,1603500.892,2548288.798,Fitted,2193039.19,2305631.74,18,13.93083051,3/22/2025 16:08
6/30/2016,1741400.85,1922551.213,1482252.24,2373158.427,Fitted,1764802.379,2343388.423,12,14.29624199,3/22/2025 16:08
7/31/2016,2389991.23,2172621.669,1735207.526,2638165.021,Fitted,2944021.215,2204211.008,6,9.874084139,3/22/2025 16:08
8/31/2016,1360454.62,1786576.461,1298880.975,2271391.842,Fitted,2234798.69,2231013.523,5,10.57031671,3/22/2025 16:08
9/30/2016,2130952.88,1675176.325,1217497.637,2161868.575,Fitted,1559861.258,2437163.786,8,13.35996169,3/22/2025 16:08
10/31/2016,1560746.86,1783356.537,1332587.938,2247289.594,Fitted,1926779.928,2264799.432,13,13.62341029,3/22/2025 16:08
11/30/2016,1751660.08,1899267.575,1468638.907,2359975.52,Fitted,3566603.692,2558015.037,16,13.38142121,3/22/2025 16:08
12/31/2016,1247216.95,1872162.246,1427851.289,2343856.24,Fitted,1766605.264,2053356.274,15,11.30728297,3/22/2025 16:08
1/31/2017,2283660.72,2121784.789,1661655.849,2575578.917,Fitted,3084823.166,2599639.801,14,12.89735077,3/22/2025 16:08
2/28/2017,2065107.68,1999358.779,1544561.155,2509111.113,Fitted,1569254.32,2476281.637,8,13.41603427,3/22/2025 16:08
3/31/2017,1561699.4,2048375.976,1557109.989,2520110.232,Fitted,1270808.493,2660249.942,6,15.19779254,3/22/2025 16:08
4/30/2017,1501834.04,2190660.526,1733869.033,2647594.159,Fitted,2755812.218,2464546.684,13,14.31198656,3/22/2025 16:08
5/31/2017,2452080.04,2079226.959,1609525.083,2552849.429,Fitted,2387869.87,2351071.525,21,14.40284956,3/22/2025 16:08
6/30/2017,1977013.09,1933937.056,1426650.509,2398629.549,Fitted,2397063.113,2370605.878,12,14.81617026,3/22/2025 16:08
7/31/2017,2556370.52,2187976.649,1761291.516,2618379.891,Fitted,3006947.783,2241747.685,22,10.23705589,3/22/2025 16:08
8/31/2017,1885803.17,1789704.113,1320903.679,2250159.243,Fitted,2672625.422,2269273.506,9,11.12163572,3/22/2025 16:08
9/30/2017,1953280.92,1665602.56,1217075.354,2165062.941,Fitted,1497327.189,2484059.827,7,14.02508275,3/22/2025 16:08
10/31/2017,1746813.75,1789969.623,1365270.288,2224073.459,Fitted,2256027.323,2319365.92,10,14.02245831,3/22/2025 16:08
11/30/2017,1606243.9,1912220.991,1390824.895,2393050.579,Fitted,2090420.503,2581022.639,10,13.83171949,3/22/2025 16:08
12/31/2017,1625741.69,1891395.272,1386574.992,2356977.35,Fitted,1267262.348,2084496.171,8,11.64748096,3/22/2025 16:08
1/31/2018,2697441.94,2119330.24,1648120.668,2569981.842,Fitted,3167225.47,2623097.837,10,13.56161782,3/22/2025 16:08
2/28/2018,1615646.79,1999364.994,1531946.609,2433605.762,Fitted,3607562.054,2534493.735,14,13.87350531,3/22/2025 16:08
3/31/2018,2145538.1,2053714.2,1571359.115,2482557.369,Fitted,2431429.333,2711463.933,13,15.66887223,3/22/2025 16:08
4/30/2018,2153008.87,2199678.097,1738758.604,2683991.964,Fitted,3239678.403,2487597.926,20,14.82151325,3/22/2025 16:08
5/31/2018,2101930.5,2083560.889,1624046.412,2548283.047,Fitted,2203610.271,2396501.107,11,14.87447494,3/22/2025 16:08
6/30/2018,2097268.44,1945467.59,1519452.815,2404355.346,Fitted,1983393.376,2397786.608,19,15.33431357,3/22/2025 16:08
7/31/2018,2592867.81,2202991.045,1719821.728,2647009.679,Fitted,1510168.665,2279565.994,8,10.60276031,3/22/2025 16:08
8/31/2018,2015054.33,1792509.412,1324709.303,2220174.053,Fitted,2221267.368,2307826.788,19,11.67743612,3/22/2025 16:08
9/30/2018,1222470.6,1656190.837,1189430.525,2140113.346,Fitted,2877683.088,2531025.033,18,14.68721188,3/22/2025 16:08
10/31/2018,2249711.87,1796983.459,1330286.903,2246559.895,Fitted,2263179.778,2373597.298,18,14.41737213,3/22/2025 16:08
11/30/2018,1939409.96,1925340.258,1467833.077,2421737.296,Fitted,1731484.64,2603501.392,5,14.28098117,3/22/2025 16:08
12/31/2018,1482792.84,1910414.425,1470843.694,2370971.093,Fitted,2767227.89,2115850.386,11,11.99190785,3/22/2025 16:08
1/31/2019,2127225.02,2116474.978,1673646.965,2606763.749,Fitted,3572884.661,2646877.165,21,14.22820987,3/22/2025 16:08
2/28/2019,2160835.26,1999505.88,1529987.452,2441756.973,Fitted,3358937.97,2593017.192,10,14.32907394,3/22/2025 16:08
3/31/2019,2860021.31,2059242.329,1567107.806,2520737.155,Fitted,4540530.886,2762163.11,15,16.13922289,3/22/2025 16:08
4/30/2019,2311900.09,2208706.491,1748633.008,2672975.303,Fitted,2690755.758,2510451.84,14,15.33084706,3/22/2025 16:08
5/31/2019,2282023.7,2087970.59,1614364.449,2567882.88,Fitted,3335218.781,2441921.114,18,15.34572411,3/22/2025 16:08
6/30/2019,2411533.35,1957133.099,1473238.79,2395677.958,Fitted,2082052.161,2424944.303,19,15.85071267,3/22/2025 16:08
7/31/2019,2433979.15,2217655.104,1752068.683,2693294.385,Fitted,2530530.32,2317670.469,8,10.97133748,3/22/2025 16:08
8/31/2019,1665229.4,1795001.431,1334940.74,2260728.886,Fitted,1925620.28,2346669.271,11,12.23760402,3/22/2025 16:08
9/30/2019,1754382.48,1646961.092,1165926.896,2128318.395,Fitted,1645811.62,2578043.574,9,15.34613597,3/22/2025 16:08
10/31/2019,1695773.84,1804399.081,1324679.33,2252900.66,Fitted,2581391.757,2427475.764,22,14.80822996,3/22/2025 16:08
11/30/2019,2524529.51,1938613.432,1450996.424,2412061.265,Fitted,2037140.015,2625470.744,21,14.72934149,3/22/2025 16:08
12/31/2019,2955954.39,1929205.544,1494126.984,2411865.572,Fitted,2556454.233,2147436.278,8,12.34070644,3/22/2025 16:08
1/31/2020,1996322.15,2113229.272,1606335.123,2565542.677,Fitted,2908845.533,2670991.765,16,14.89695336,3/22/2025 16:08
2/29/2020,1289924.83,2023409.323,1571663.884,2489496.912,Fitted,2303483.028,2572601.463,19,14.92427931,3/22/2025 16:08
3/31/2020,2616185.31,2067159.736,1586921.359,2524045.456,Fitted,2728605.27,2762733.249,31,16.6935719,3/22/2025 16:08
4/30/2020,2656716.48,2205591.14,1733696.047,2664736.682,Fitted,2628696.512,2595477.893,15,15.76987412,3/22/2025 16:08
5/31/2020,1516910.72,2098902.958,1640618.558,2558351.165,Fitted,1940096.01,2459826.587,17,15.89843504,3/22/2025 16:08
6/30/2020,982266.28,1946486.477,1492305.359,2427773.331,Fitted,2529772.455,2497583.285,17,16.26384658,3/22/2025 16:08
7/31/2020,1229852.67,2196557.555,1741624.014,2630833.288,Fitted,1186189.639,2358405.885,8,11.84168878,3/22/2025 16:08
8/31/2020,985374.84,1810512.979,1346934.242,2243163.746,Fitted,2786112.2,2385208.401,7,12.53792137,3/22/2025 16:08
9/30/2020,1422751.82,1699113.455,1241295.402,2149437.216,Fitted,3094625.371,2591358.665,13,15.32756635,3/22/2025 16:08
10/31/2020,1618674.85,1807294.298,1312346.275,2269204.531,Fitted,1612281.29,2418994.311,15,15.59101496,3/22/2025 16:08
11/30/2020,1674978.67,1923205.948,1439264.216,2407347.635,Fitted,2372503.355,2712209.916,15,15.3490259,3/22/2025 16:08
