ds,BUDGET_AMT_lag2,NBR_MURDER_lag1
2025-03-31,3023625.6300658393,17.636352836363546
2025-04-30,2863425.087641874,19.32401002834561
2025-05-31,3056871.1884103995,18.410678422016254
2025-06-30,2728042.631617234,19.332901570779022
2025-07-31,2814865.348217043,19.602049765447138
2025-08-31,2687030.7582242256,14.170291455162648
2025-09-30,2597355.955458107,14.43035907299621
2025-10-31,2569133.0187112624,18.125494666615023
2025-11-30,2694719.276311371,18.859426769769588
2025-12-31,2716407.0634030555,17.957919653712423
2026-01-31,2982095.386248263,16.328679623051762
2026-02-28,2456194.013829005,18.399863803636084
2026-03-31,3071270.4626916186,18.228948593918098
2026-04-30,2915834.6287333653,19.91388937808038
2026-05-31,3106711.6108805076,18.99104596068085
2026-06-30,2767043.572550799,19.904916891988787
2026-07-31,2865477.7500698958,20.1581287527453
2026-08-31,2731025.0914444276,14.680675494719939
