ACC_MONTH,FISCAL_YEAR,ACCOUNTING_PERIOD,TOT_PAID,BUDGET_AMT,NBR_CASE,NBR_MURDER,NBR_OTHER
2017-09-30,2017,6,1953280.92,1497327.189,36,7,29
2017-10-31,2017,7,1746813.75,2256027.323,42,10,32
2017-11-30,2017,8,1606243.9,2090420.503,44,10,34
2017-12-31,2017,9,1625741.69,1267262.348,21,8,13
2018-01-31,2017,10,2697441.94,3167225.47,49,10,39
2018-02-28,2017,11,1615646.79,3607562.054,64,14,50
2018-03-31,2017,12,2145538.1,2431429.333,61,13,48
2018-04-30,2018,1,2153008.87,3239678.403,56,20,36
2018-05-31,2018,2,2101930.5,2203610.271,50,11,39
2018-06-30,2018,3,2097268.44,1983393.376,47,19,28
2018-07-31,2018,4,2592867.81,1510168.665,36,8,28
2018-08-31,2018,5,2015054.33,2221267.368,44,19,25
2018-09-30,2018,6,1222470.6,2877683.088,52,18,34
2018-10-31,2018,7,2249711.87,2263179.778,51,18,33
2018-11-30,2018,8,1939409.96,1731484.64,29,5,24
2018-12-31,2018,9,1482792.84,2767227.89,46,11,35
2019-01-31,2018,10,2127225.02,3572884.661,66,21,45
2019-02-28,2018,11,2160835.26,3358937.97,57,10,47
2019-03-31,2018,12,2860021.31,4540530.886,92,15,77
2019-04-30,2019,1,2311900.09,2690755.758,59,14,45
2019-05-31,2019,2,2282023.7,3335218.781,88,18,70
2019-06-30,2019,3,2411533.35,2082052.161,44,19,25
2019-07-31,2019,4,2433979.15,2530530.32,46,8,38
2019-08-31,2019,5,1665229.4,1925620.28,30,11,19
2019-09-30,2019,6,1754382.48,1645811.62,27,9,18
2019-10-31,2019,7,1695773.84,2581391.757,50,22,28
2019-11-30,2019,8,2524529.51,2037140.015,44,21,23
2019-12-31,2019,9,2955954.39,2556454.233,37,8,29
2020-01-31,2019,10,1996322.15,2908845.533,52,16,36
2020-02-29,2019,11,1289924.83,2303483.028,40,19,21
2020-03-31,2019,12,2616185.31,2728605.27,82,31,51
2020-04-30,2020,1,2656716.48,2628696.512,73,15,58
2020-05-31,2020,2,1516910.72,1940096.01,58,17,41
2020-06-30,2020,3,982266.28,2529772.455,63,17,46
2020-07-31,2020,4,1229852.67,1186189.639,32,8,24
2020-08-31,2020,5,985374.84,2786112.2,35,7,28
2020-09-30,2020,6,1422751.82,3094625.371,59,13,46
2020-10-31,2020,7,1618674.85,1612281.29,40,15,25
2020-11-30,2020,8,1674978.67,2372503.355,40,15,25
2020-12-31,2020,9,1541133.31,2991259.893,54,15,39
2021-01-31,2020,10,2091456.27,2419945.273,46,11,35
2021-02-28,2020,11,2011336.87,2147558.449,52,16,36
2021-03-31,2020,12,1823234.14,3074563.702,44,13,31
2021-04-30,2021,1,1694205.9,2425264.835,62,20,42
2021-05-31,2021,2,2077831.93,2520745.955,45,11,34
2021-06-30,2021,3,1468225.88,2725533.554,56,20,36
2021-07-31,2021,4,1566813.21,2766974.401,55,12,43
2021-08-31,2021,5,1434771.42,2297292.832,53,13,40
2021-09-30,2021,6,2094795.68,3165732.824,51,20,31
2021-10-31,2021,7,2004625.36,2340832.344,34,5,29
2021-11-30,2021,8,2174466.74,3144961.21,54,19,35
2021-12-31,2021,9,2442210.88,1478894.668,35,7,28
2022-01-31,2021,10,2330815.38,2716352.065,40,10,30
2022-02-28,2021,11,2421085.36,2439887.732,52,17,35
2022-03-31,2021,12,2514404.64,2124246.626,53,20,33
2022-04-30,2022,1,2446739.48,2909220.885,64,16,48
2022-05-31,2022,2,2441604.89,2064729.91,43,10,33
2022-06-30,2022,3,1925807.55,2442759.869,56,23,33
2022-07-31,2022,4,2033204.28,1084939.88,25,4,21
2022-08-31,2022,5,1928347.96,1887930.45,47,19,28
2022-09-30,2022,6,1548099.3,3137573.98,62,26,36
2022-10-31,2022,7,1858951.59,2047855.362,44,19,25
2022-11-30,2022,8,1700787.46,3235523.19,56,18,38
2022-12-31,2022,9,2132207.16,2131180.01,52,26,26
2023-01-31,2022,10,2556658.3,2607551.54,40,14,26
2023-02-28,2022,11,2066868.09,3052788.58,56,15,41
2023-03-31,2022,12,2386457.31,3042895.71,61,18,43
2023-04-30,2023,1,2078173.5,1022852.888,32,10,22
2023-05-31,2023,2,2325673.15,3311208.47,63,22,41
2023-06-30,2023,3,1852175.06,3080543.12,52,21,31
2023-07-31,2023,4,1921717.36,2217186.32,46,16,30
2023-08-31,2023,5,1446480.26,3877192.63,48,13,35
2023-09-30,2023,6,2270045.94,3221570.367,54,26,28
2023-10-31,2023,7,1786991.95,3113207.74,55,22,33
2023-11-30,2023,8,2000769.8,2878958.81,45,19,26
2023-12-31,2023,9,2054317.8,2104117.68,36,10,26
2024-01-31,2023,10,2576562.57,2843154.1,53,22,31
2024-02-29,2023,11,2389917.93,3079523.66,58,22,36
2024-03-31,2023,12,1613714.32,2926001.911,54,23,31
2024-04-30,2024,1,2487742.59,2391873.556,51,22,29
2024-05-31,2024,2,2581158.45,3131958.56,57,17,40
2024-06-30,2024,3,1704088.77,3407866.06,54,14,40
2024-07-31,2024,4,2315878.7,2726852.25,39,10,29
2024-08-31,2024,5,1710478.78,1792933.271,36,9,27
2024-09-30,2024,6,1577852.82,2967290.695,37,10,27
2024-10-31,2024,7,1708064.91,2656318.21,64,20,44
2024-11-30,2024,8,1326014.32,3417666.784,46,14,32
2024-12-31,2024,9,1659811.14,2071062.16,48,16,32
2025-01-31,2024,10,2131294.37,3073348.775,55,19,36
2025-02-28,2024,11,2398968.34,3173980.76,50,18,32
