Sort_Order,Code,Group,Title,Note,ToD_1,ToD_2,ToD_3,Developed_Region,Least_Dev_Country,Sub_Saharan_Africa,Country_Code,Major_Area,M_Code,Region,R_Code
66,566,Country_or_Area,Nigeria,,C,R,,No,No,Yes,566,Africa,903,Western Africa,914
67,654,Country_or_Area,Saint Helena,(4),B,,,No,No,Yes,654,Africa,903,Western Africa,914
68,686,Country_or_Area,Senegal,,B,R,,No,Yes,Yes,686,Africa,903,Western Africa,914
69,694,Country_or_Area,Sierra Leone,,B,R,,No,Yes,Yes,694,Africa,903,Western Africa,914
70,768,Country_or_Area,Togo,,C,R,,No,Yes,Yes,768,Africa,903,Western Africa,914
71,935,Major_Area,Asia,,,,,No,No,No,,Major_Area,935,Asia,935
72,5500,Region,Central Asia,,,,,No,No,No,,Asia,935,Central Asia,5500
73,398,Country_or_Area,Kazakhstan,,B,,,No,No,No,398,Asia,935,Central Asia,5500
74,417,Country_or_Area,Kyrgyzstan,,B,,,No,No,No,417,Asia,935,Central Asia,5500
75,762,Country_or_Area,Tajikistan,,B,,,No,No,No,762,Asia,935,Central Asia,5500
76,795,Country_or_Area,Turkmenistan,,B,,,No,No,No,795,Asia,935,Central Asia,5500
77,860,Country_or_Area,Uzbekistan,,B,,,No,No,No,860,Asia,935,Central Asia,5500
78,906,Region,Eastern Asia,,,,,No,No,No,,Asia,935,Eastern Asia,906
79,156,Country_or_Area,China,(5),C,,,No,No,No,156,Asia,935,Eastern Asia,906
80,344,Country_or_Area,"China, Hong Kong Special Administrative Region",(6),B,,,No,No,No,344,Asia,935,Eastern Asia,906
81,446,Country_or_Area,"China, Macao Special Administrative Region",(7),B,,,No,No,No,446,Asia,935,Eastern Asia,906
82,408,Country_or_Area,Democratic People's Republic of Korea,,I,,,No,No,No,408,Asia,935,Eastern Asia,906
83,392,Country_or_Area,Japan,,C,,,Yes,No,No,392,Asia,935,Eastern Asia,906
84,496,Country_or_Area,Mongolia,,C,,,No,No,No,496,Asia,935,Eastern Asia,906
85,410,Country_or_Area,Republic of Korea,,C,,,No,No,No,410,Asia,935,Eastern Asia,906
86,920,Region,South-Eastern Asia,,,,,No,No,No,,Asia,935,South-Eastern Asia,920
87,96,Country_or_Area,Brunei Darussalam,,B,,,No,No,No,96,Asia,935,South-Eastern Asia,920
88,116,Country_or_Area,Cambodia,,B,,,No,Yes,No,116,Asia,935,South-Eastern Asia,920
89,360,Country_or_Area,Indonesia,,B,R,,No,No,No,360,Asia,935,South-Eastern Asia,920
90,418,Country_or_Area,Lao People's Democratic Republic,,C,R,,No,Yes,No,418,Asia,935,South-Eastern Asia,920
91,458,Country_or_Area,Malaysia,(8),C,R,,No,No,No,458,Asia,935,South-Eastern Asia,920
92,104,Country_or_Area,Myanmar,,C,,,No,Yes,No,104,Asia,935,South-Eastern Asia,920
93,608,Country_or_Area,Philippines,,C,R,,No,No,No,608,Asia,935,South-Eastern Asia,920
94,702,Country_or_Area,Singapore,,B,,,No,No,No,702,Asia,935,South-Eastern Asia,920
95,764,Country_or_Area,Thailand,,B,R,,No,No,No,764,Asia,935,South-Eastern Asia,920
96,626,Country_or_Area,Timor-Leste,,B,,,No,Yes,No,626,Asia,935,South-Eastern Asia,920
