Code,Year,Gender,Table_5,Table_6_RoC
900,1990-95,T,1.0518647425166152,-2.123497443993485
901,1990-95,T,2.2758472453040235,9.388423966885876
902,1990-95,T,-0.4873885006770395,-2.8394168886795867
941,1990-95,T,1.1181747061423195,-0.6803269439341384
934,1990-95,T,-0.80324377014423,-4.383599796705438
947,1990-95,T,0.8453743459670895,-0.022137982774570436
903,1990-95,T,0.826734396989726,0.07603677113441111
910,1990-95,T,-3.435411900417655,-5.308010344612512
108,1990-95,T,-5.355717148331725,-3.3909261411250875
174,1990-95,T,-0.19987317465281818,
262,1990-95,T,-4.058465061328198,-9.763425826711018
232,1990-95,T,0.9107479129098696,
231,1990-95,T,-7.179770524250253,-5.505716936298401
404,1990-95,T,14.659568244929003,42.521055181350214
450,1990-95,T,-2.4334763215056583,
454,1990-95,T,-30.811478447847207,-104.30737611295288
480,1990-95,T,14.588615984333412,
175,1990-95,T,10.939512287083955,
508,1990-95,T,6.374959379258264,-30.139448326414197
638,1990-95,T,5.982790391803276,
646,1990-95,T,7.550834492027084,-6.0627656845470845
690,1990-95,T,6.492316807387896,
706,1990-95,T,-63.968549658420514,-68.02407828888308
728,1990-95,T,,
800,1990-95,T,2.5623480853665765,6.509171393612798
834,1990-95,T,13.117422215822142,9.694684024184413
894,1990-95,T,-2.655264128903243,1.5113691739317874
716,1990-95,T,-7.480573976150209,-110.03617607888569
911,1990-95,T,11.885809952819738,12.964161983967301
24,1990-95,T,3.4428143864255882,-4.4616639611770825
120,1990-95,T,-1.4437903934517917,0.8674789835111534
140,1990-95,T,7.882139176978438,38.14948769523996
148,1990-95,T,3.7300132936517563,
178,1990-95,T,7.82325771171872,28.24832633786012
180,1990-95,T,17.5854415121921,9.048074071437565
226,1990-95,T,5.61998415661909,
266,1990-95,T,3.567617927948684,23.05165638810818
678,1990-95,T,-2.459836970220874,
912,1990-95,T,-2.8729027601699544,-3.456178109449675
12,1990-95,T,-0.8898715074983218,3.4800186788249228
818,1990-95,T,-0.7930282715571391,22.070974431051454
434,1990-95,T,2.1142932353712385,
504,1990-95,T,-1.724501210210987,-32.665790036883536
729,1990-95,T,-5.730388813397641,-2.769561843315898
788,1990-95,T,-0.0616999606031889,37.90384882184993
732,1990-95,T,2.122829212817955,
913,1990-95,T,-3.1143518991456296,-1.9545466541462313
72,1990-95,T,7.570421675918423,-38.03261825483049
426,1990-95,T,-2.687278332153414,-11.166702697672113
516,1990-95,T,-0.8931500606370607,
710,1990-95,T,-2.9592411415646382,5.346087405129542
748,1990-95,T,-21.154618431214306,-60.42752837442566
914,1990-95,T,3.8177061322885244,8.717580540264494
204,1990-95,T,6.403303818497622,18.80358630045769
854,1990-95,T,4.360877415371779,3.3117676301872385
132,1990-95,T,2.219090284008529,
384,1990-95,T,2.6752380236631246,12.951407466112967
270,1990-95,T,4.896492801438381,97.72574230363713
288,1990-95,T,8.557381556693809,51.63807220684568
324,1990-95,T,13.03495593547172,1.5025743100966016
624,1990-95,T,11.970465132778022,20.652949669848336
430,1990-95,T,15.734865629163968,121.61712895093689
466,1990-95,T,1.8356532683379043,3.9567247839871076
478,1990-95,T,-4.4087571081401835,-6.72049152506167
562,1990-95,T,4.692819586090978,66.34330929037799
566,1990-95,T,0.277423382059206,16.147339614028684
654,1990-95,T,0.5663184023457571,
686,1990-95,T,1.2363808653479813,1.5406093344738816
694,1990-95,T,-14.925019037711424,-33.18926187581787
768,1990-95,T,3.601238443054776,19.20653503183523
935,1990-95,T,-0.6734305295376923,-3.819460982405059
5500,1990-95,T,-2.368917511245917,54.55952614377938
398,1990-95,T,-2.181212362973948,
417,1990-95,T,-3.993775734500096,
762,1990-95,T,-4.160493642238464,-27.37246814998373
795,1990-95,T,-2.2735700357489734,
860,1990-95,T,-1.7755400024188472,
906,1990-95,T,3.2521906762884445,-3.3794586178722454
156,1990-95,T,3.2241791281447294,-2.9490221040940754
344,1990-95,T,1.93468530250001,-13.94410155176887
446,1990-95,T,1.85091151395203,
408,1990-95,T,0.6008018990017168,
392,1990-95,T,4.999505864850363,-9.451851762146775
496,1990-95,T,1.9985500858759677,
410,1990-95,T,21.1553280299892,
920,1990-95,T,5.034672432855787,-4.116325837272531
96,1990-95,T,2.929734523895564,
116,1990-95,T,17.537585026805324,
360,1990-95,T,-4.118440213309698,-43.068727670366016
418,1990-95,T,0.5691020283694297,
458,1990-95,T,5.956824734640602,3.055822833617981
104,1990-95,T,-3.2240113932631154,
608,1990-95,T,5.939410749111392,-70.6060155812786
702,1990-95,T,6.198481631790483,-11.500636640055326
764,1990-95,T,8.52561171524638,-7.218080803457169
626,1990-95,T,1.6889743724886102,
704,1990-95,T,12.01079592588578,-2.2824627481444617
5501,1990-95,T,-4.729681634800576,-7.985276364918151
4,1990-95,T,4.299811698438451,128.99347009872616
50,1990-95,T,1.1701069064545566,99.12644125628034
64,1990-95,T,3.2244870952249753,
356,1990-95,T,-1.4986570858453512,15.823010487452633
364,1990-95,T,-7.580875749389744,-2.973811722744841
462,1990-95,T,15.125065374566745,
524,1990-95,T,9.465857792995802,30.018007270401686
586,1990-95,T,-10.517371094729548,-9.46506156491099
144,1990-95,T,-0.34951497488623195,1.6402853976376566
922,1990-95,T,2.1356705445347552,5.570964166767092
51,1990-95,T,1.0413443688876318,
31,1990-95,T,-0.9384837144935227,
48,1990-95,T,3.465158881052503,-17.305643197358936
196,1990-95,T,6.928687059050495,17.268071416516186
268,1990-95,T,-3.893891315019704,
368,1990-95,T,17.38231505406023,79.92079604093063
376,1990-95,T,1.8639601950960927,
400,1990-95,T,5.866269261346839,0.06488569000996941
414,1990-95,T,-3.0602787526734834,-41.04888889259297
