,Code,Year,Gender,Table_1,Table_2,Table_3,Table_4,Table_6_PR,Table_6_Est,Sort_Order,Group,Title,Note,ToD_1,ToD_2,ToD_3,Developed_Region,Least_Dev_Country,Sub_Saharan_Africa,Country_Code,Major_Area,M_Code,Region,R_Code
3205,756,1995,T,1478829.0,7017042.0,21.074820415782035,,5.608694446754831,82943.0,179,Country_or_Area,Switzerland,,B,,,Yes,No,No,756.0,Europe,908.0,Western Europe,926.0
3206,756,2000,T,1570756.0,7165581.0,21.920846334721496,,3.670398203158225,57653.0,179,Country_or_Area,Switzerland,,B,,,Yes,No,No,756.0,Europe,908.0,Western Europe,926.0
3207,756,2005,T,1805437.0,7408608.0,24.36944969959269,,2.660297756166513,48030.0,179,Country_or_Area,Switzerland,,B,,,Yes,No,No,756.0,Europe,908.0,Western Europe,926.0
3208,756,2010,T,2075182.0,7830534.0,26.501155604458138,,2.3522274190890244,48813.0,179,Country_or_Area,Switzerland,,B,,,Yes,No,No,756.0,Europe,908.0,Western Europe,926.0
3209,756,2015,T,2438702.0,8298663.0,29.386685541996343,,2.369416189431919,57783.0,179,Country_or_Area,Switzerland,,B,,,Yes,No,No,756.0,Europe,908.0,Western Europe,926.0
4284,927,1990,T,4473260.0,20494403.0,21.826739720107973,,2.293204508568695,102581.0,239,Region,Australia and New Zealand,,,,,No,No,No,,Oceania,909.0,Australia and New Zealand,927.0
4285,927,1995,T,4741947.0,21799656.0,21.75239370749704,,1.7469406553890203,82839.0,239,Region,Australia and New Zealand,,,,,No,No,No,,Oceania,909.0,Australia and New Zealand,927.0
4286,927,2000,T,5065063.0,22965485.0,22.05511009238429,,1.5038115024433063,76169.0,239,Region,Australia and New Zealand,,,,,No,No,No,,Oceania,909.0,Australia and New Zealand,927.0
4287,927,2005,T,5717982.0,24408981.0,23.425730062225867,,1.259692667797835,72029.0,239,Region,Australia and New Zealand,,,,,No,No,No,,Oceania,909.0,Australia and New Zealand,927.0
4288,927,2010,T,6830423.0,26531890.0,25.744200658151374,,0.4071782962782832,27812.0,239,Region,Australia and New Zealand,,,,,No,No,No,,Oceania,909.0,Australia and New Zealand,927.0
4289,927,2015,T,7803399.0,28497499.0,27.38275032486184,,0.6331599857959334,49408.0,239,Region,Australia and New Zealand,,,,,No,No,No,,Oceania,909.0,Australia and New Zealand,927.0
4302,36,1990,T,3955213.0,17096869.0,23.134136431647224,,2.475593602670703,97915.0,240,Country_or_Area,Australia,(22),B,,,Yes,No,No,36.0,Oceania,909.0,Australia and New Zealand,927.0
4303,36,1995,T,4153330.0,18124770.0,22.91521492410662,,1.904038446258785,79081.0,240,Country_or_Area,Australia,(22),B,,,Yes,No,No,36.0,Oceania,909.0,Australia and New Zealand,927.0
4304,36,2000,T,4386250.0,19107251.0,22.95594483999817,,1.624303220290681,71246.0,240,Country_or_Area,Australia,(22),B,,,Yes,No,No,36.0,Oceania,909.0,Australia and New Zealand,927.0
4305,36,2005,T,4878030.0,20274282.0,24.060186200428703,,1.3678062660541244,66722.0,240,Country_or_Area,Australia,(22),B,,,Yes,No,No,36.0,Oceania,909.0,Australia and New Zealand,927.0
4306,36,2010,T,5882980.0,22162863.0,26.54431424315532,,0.433538784765544,25505.0,240,Country_or_Area,Australia,(22),B,,,Yes,No,No,36.0,Oceania,909.0,Australia and New Zealand,927.0
4307,36,2015,T,6763663.0,23968973.0,28.218409691562503,,0.7097485489741284,48005.0,240,Country_or_Area,Australia,(22),B,,,Yes,No,No,36.0,Oceania,909.0,Australia and New Zealand,927.0
4320,554,1990,T,518047.0,3397534.0,15.247735563499878,,0.9006904778910021,4666.0,241,Country_or_Area,New Zealand,,B,,,Yes,No,No,554.0,Oceania,909.0,Australia and New Zealand,927.0
4321,554,1995,T,588617.0,3674886.0,16.017285978394977,,0.6384457125771087,3758.0,241,Country_or_Area,New Zealand,,B,,,Yes,No,No,554.0,Oceania,909.0,Australia and New Zealand,927.0
4322,554,2000,T,678813.0,3858234.0,17.593878442831617,,0.7252365526293691,4923.0,241,Country_or_Area,New Zealand,,B,,,Yes,No,No,554.0,Oceania,909.0,Australia and New Zealand,927.0
4323,554,2005,T,839952.0,4134699.0,20.31470731001217,,0.6318218183896223,5307.0,241,Country_or_Area,New Zealand,,B,,,Yes,No,No,554.0,Oceania,909.0,Australia and New Zealand,927.0
4324,554,2010,T,947443.0,4369027.0,21.685446210334703,,0.2434974980025183,2307.0,241,Country_or_Area,New Zealand,,B,,,Yes,No,No,554.0,Oceania,909.0,Australia and New Zealand,927.0
4325,554,2015,T,1039736.0,4528526.0,22.95970035283004,,0.134938099671455,1403.0,241,Country_or_Area,New Zealand,,B,,,Yes,No,No,554.0,Oceania,909.0,Australia and New Zealand,927.0
4446,954,1990,T,108969.0,414742.0,26.273924512106323,,0.0,0.0,248,Region,Micronesia,,,,,No,No,No,,Oceania,909.0,Micronesia,954.0
4447,954,1995,T,118687.0,466608.0,25.436126255872168,,0.0,0.0,248,Region,Micronesia,,,,,No,No,No,,Oceania,909.0,Micronesia,954.0
4448,954,2000,T,130186.0,496975.0,26.195683887519493,,0.0,0.0,248,Region,Micronesia,,,,,No,No,No,,Oceania,909.0,Micronesia,954.0
4449,954,2005,T,128390.0,503380.0,25.505582263896063,,0.0,0.0,248,Region,Micronesia,,,,,No,No,No,,Oceania,909.0,Micronesia,954.0
4450,954,2010,T,116245.0,502490.0,23.13379370733746,,0.0,0.0,248,Region,Micronesia,,,,,No,No,No,,Oceania,909.0,Micronesia,954.0
4451,954,2015,T,115772.0,526344.0,21.99550104114419,,0.3368690184155063,390.0,248,Region,Micronesia,,,,,No,No,No,,Oceania,909.0,Micronesia,954.0
4464,316,1990,T,69755.0,130482.0,53.4594810012109,,0.0,0.0,249,Country_or_Area,Guam,,B,,,No,No,No,316.0,Oceania,909.0,Micronesia,954.0
4465,316,1995,T,71912.0,145562.0,49.403003531141366,,0.0,0.0,249,Country_or_Area,Guam,,B,,,No,No,No,316.0,Oceania,909.0,Micronesia,954.0
4466,316,2000,T,74070.0,155328.0,47.68618665018541,,0.0,0.0,249,Country_or_Area,Guam,,B,,,No,No,No,316.0,Oceania,909.0,Micronesia,954.0
4467,316,2005,T,74743.0,158401.0,47.18593948270528,,0.0,0.0,249,Country_or_Area,Guam,,B,,,No,No,No,316.0,Oceania,909.0,Micronesia,954.0
4468,316,2010,T,75416.0,159440.0,47.30055193176116,,0.0,0.0,249,Country_or_Area,Guam,,B,,,No,No,No,316.0,Oceania,909.0,Micronesia,954.0
4469,316,2015,T,76089.0,169885.0,44.78853341966625,,0.0,0.0,249,Country_or_Area,Guam,,B,,,No,No,No,316.0,Oceania,909.0,Micronesia,954.0
4482,296,1990,T,2162.0,72411.0,2.9857342116529257,,0.0,0.0,250,Country_or_Area,Kiribati,,B,,,No,Yes,No,296.0,Oceania,909.0,Micronesia,954.0
4483,296,1995,T,2223.0,77727.0,2.8600100351229303,,0.0,0.0,250,Country_or_Area,Kiribati,,B,,,No,Yes,No,296.0,Oceania,909.0,Micronesia,954.0
4484,296,2000,T,2283.0,84406.0,2.704784020093358,,0.0,0.0,250,Country_or_Area,Kiribati,,B,,,No,Yes,No,296.0,Oceania,909.0,Micronesia,954.0
4485,296,2005,T,2487.0,92329.0,2.693628220819028,,0.0,0.0,250,Country_or_Area,Kiribati,,B,,,No,Yes,No,296.0,Oceania,909.0,Micronesia,954.0
4486,296,2010,T,2868.0,102648.0,2.794014496142156,,0.0,0.0,250,Country_or_Area,Kiribati,,B,,,No,Yes,No,296.0,Oceania,909.0,Micronesia,954.0
4487,296,2015,T,3153.0,112423.0,2.8045862501445438,,0.0,0.0,250,Country_or_Area,Kiribati,,B,,,No,Yes,No,296.0,Oceania,909.0,Micronesia,954.0
4500,584,1990,T,1158.0,47300.0,2.448202959830867,,0.0,0.0,251,Country_or_Area,Marshall Islands,,B,,,No,No,No,584.0,Oceania,909.0,Micronesia,954.0
4501,584,1995,T,1480.0,51020.0,2.9008232065856525,,0.0,0.0,251,Country_or_Area,Marshall Islands,,B,,,No,No,No,584.0,Oceania,909.0,Micronesia,954.0
4502,584,2000,T,1891.0,52161.0,3.6253139318648033,,0.0,0.0,251,Country_or_Area,Marshall Islands,,B,,,No,No,No,584.0,Oceania,909.0,Micronesia,954.0
4503,584,2005,T,2417.0,52058.0,4.64289830573591,,0.0,0.0,251,Country_or_Area,Marshall Islands,,B,,,No,No,No,584.0,Oceania,909.0,Micronesia,954.0
4504,584,2010,T,3089.0,52428.0,5.891889829861906,,0.0,0.0,251,Country_or_Area,Marshall Islands,,B,,,No,No,No,584.0,Oceania,909.0,Micronesia,954.0
4505,584,2015,T,3284.0,52993.0,6.19704489272168,,0.0,0.0,251,Country_or_Area,Marshall Islands,,B,,,No,No,No,584.0,Oceania,909.0,Micronesia,954.0
4518,583,1990,T,3685.0,96331.0,3.8253521711598553,,0.0,0.0,252,Country_or_Area,Micronesia (Federated States of),,B,,,No,No,No,583.0,Oceania,909.0,Micronesia,954.0
4519,583,1995,T,3342.0,107556.0,3.1072185652125404,,0.0,0.0,252,Country_or_Area,Micronesia (Federated States of),,B,,,No,No,No,583.0,Oceania,909.0,Micronesia,954.0
4520,583,2000,T,3116.0,107430.0,2.9004933445033974,,0.0,0.0,252,Country_or_Area,Micronesia (Federated States of),,B,,,No,No,No,583.0,Oceania,909.0,Micronesia,954.0
4521,583,2005,T,2905.0,106198.0,2.735456411608505,,0.0,0.0,252,Country_or_Area,Micronesia (Federated States of),,B,,,No,No,No,583.0,Oceania,909.0,Micronesia,954.0
4522,583,2010,T,2805.0,103619.0,2.7070324940406683,,0.0,0.0,252,Country_or_Area,Micronesia (Federated States of),,B,,,No,No,No,583.0,Oceania,909.0,Micronesia,954.0
4523,583,2015,T,2756.0,104460.0,2.6383304614206398,,0.0,0.0,252,Country_or_Area,Micronesia (Federated States of),,B,,,No,No,No,583.0,Oceania,909.0,Micronesia,954.0
4536,520,1990,T,2815.0,9157.0,30.74150922791307,,0.0,0.0,253,Country_or_Area,Nauru,,C,,,No,No,No,520.0,Oceania,909.0,Micronesia,954.0
4537,520,1995,T,2605.0,9970.0,26.1283851554664,,0.0,0.0,253,Country_or_Area,Nauru,,C,,,No,No,No,520.0,Oceania,909.0,Micronesia,954.0
4538,520,2000,T,2394.0,10042.0,23.839872535351525,,0.0,0.0,253,Country_or_Area,Nauru,,C,,,No,No,No,520.0,Oceania,909.0,Micronesia,954.0
4539,520,2005,T,2253.0,10115.0,22.27385071675729,,0.0,0.0,253,Country_or_Area,Nauru,,C,,,No,No,No,520.0,Oceania,909.0,Micronesia,954.0
4540,520,2010,T,2112.0,10025.0,21.06733167082294,,0.0,0.0,253,Country_or_Area,Nauru,,C,,,No,No,No,520.0,Oceania,909.0,Micronesia,954.0
4541,520,2015,T,3178.0,10222.0,31.089806300136964,,12.24040276903713,389.0,253,Country_or_Area,Nauru,,C,,,No,No,No,520.0,Oceania,909.0,Micronesia,954.0
4554,580,1990,T,26593.0,43972.0,60.47712180478486,,0.0,0.0,254,Country_or_Area,Northern Mariana Islands,,B,,,No,No,No,580.0,Oceania,909.0,Micronesia,954.0
4555,580,1995,T,32376.0,57518.0,56.28846621927049,,0.0,0.0,254,Country_or_Area,Northern Mariana Islands,,B,,,No,No,No,580.0,Oceania,909.0,Micronesia,954.0
4556,580,2000,T,40122.0,68434.0,58.62875179004588,,0.0,0.0,254,Country_or_Area,Northern Mariana Islands,,B,,,No,No,No,580.0,Oceania,909.0,Micronesia,954.0
4557,580,2005,T,37542.0,64372.0,58.32038774622507,,0.0,0.0,254,Country_or_Area,Northern Mariana Islands,,B,,,No,No,No,580.0,Oceania,909.0,Micronesia,954.0
4558,580,2010,T,24168.0,53860.0,44.871890085406605,,0.0,0.0,254,Country_or_Area,Northern Mariana Islands,,B,,,No,No,No,580.0,Oceania,909.0,Micronesia,954.0
4559,580,2015,T,21648.0,55070.0,39.30996913019793,,0.0,0.0,254,Country_or_Area,Northern Mariana Islands,,B,,,No,No,No,580.0,Oceania,909.0,Micronesia,954.0
4572,585,1990,T,2801.0,15089.0,18.56319172907416,,0.0,0.0,255,Country_or_Area,Palau,,B,,,No,No,No,585.0,Oceania,909.0,Micronesia,954.0
4573,585,1995,T,4749.0,17255.0,27.522457258765577,,0.0,0.0,255,Country_or_Area,Palau,,B,,,No,No,No,585.0,Oceania,909.0,Micronesia,954.0
4574,585,2000,T,6310.0,19174.0,32.90914780431835,,0.0,0.0,255,Country_or_Area,Palau,,B,,,No,No,No,585.0,Oceania,909.0,Micronesia,954.0
4575,585,2005,T,6043.0,19907.0,30.35615612598584,,0.0,0.0,255,Country_or_Area,Palau,,B,,,No,No,No,585.0,Oceania,909.0,Micronesia,954.0
4576,585,2010,T,5787.0,20470.0,28.27063996091842,,0.0,0.0,255,Country_or_Area,Palau,,B,,,No,No,No,585.0,Oceania,909.0,Micronesia,954.0
4577,585,2015,T,5664.0,21291.0,26.602789911230097,,0.0176553672316384,1.0,255,Country_or_Area,Palau,,B,,,No,No,No,585.0,Oceania,909.0,Micronesia,954.0
