C_Sort_Order,Country_or_Area,Note,Country_Code,Type_of_Data,T1_T_1990,T1_T_1995,T1_T_2000,T1_T_2005,T1_T_2010,T1_T_2015,T1_M_1990,T1_M_1995,T1_M_2000,T1_M_2005,T1_M_2010,T1_M_2015,T1_F_1990,T1_F_1995,T1_F_2000,T1_F_2005,T1_F_2010,T1_F_2015,Group
33,Chad,,148,B R,74342,89584,104825,352062,416924.0,516968.0,40133,48298,56463,159715,186773.0,238140.0,34209,41286,48362,192347,230151.0,278828.0,Country_or_Area
34,Congo,,178,B,129597,191635,305002,315238,419649.0,392996.0,64418,95822,152666,171420,228180.0,215274.0,65179,95813,152336,143818,191469.0,177722.0,Country_or_Area
35,Democratic Republic of the Congo,,180,B R,754194,1816963,744387,622869,588950.0,545694.0,363117,901379,365092,302290,284244.0,264445.0,391077,915584,379295,320579,304706.0,281249.0,Country_or_Area
36,Equatorial Guinea,,226,C,2740,3629,4517,6588,8658.0,10825.0,1465,1930,2394,3564,4734.0,5980.0,1275,1699,2123,3024,3924.0,4845.0,Country_or_Area
37,Gabon,,266,C,127980,152972,195571,214123,243992.0,268384.0,73053,87305,111616,122279,139458.0,153144.0,54927,65667,83955,91844,104534.0,115240.0,Country_or_Area
38,Sao Tome and Principe,,678,C,5582,4936,4365,3433,2700.0,2394.0,2953,2548,2212,1727,1352.0,1197.0,2629,2388,2153,1706,1348.0,1197.0,Country_or_Area
39,Northern Africa,,912,,2403200,2081640,1885650,1782054,1921613.0,2159048.0,1230643,1105808,1048954,1063304,1145515.0,1278467.0,1172557,975832,836696,718750,776098.0,880581.0,Region
40,Algeria,,12,C R,273954,262032,250110,247537,244964.0,242391.0,150234,143696,137158,135748,134339.0,132930.0,123720,118336,112952,111789,110625.0,109461.0,Country_or_Area
41,Egypt,,818,B R,173708,166955,173452,274001,295714.0,491643.0,91928,88545,92205,158277,166071.0,265054.0,81780,78410,81247,115724,129643.0,226589.0,Country_or_Area
42,Libya,,434,C,457075,508041,567436,625212,683998.0,771146.0,242707,300906,368950,445597,489737.0,549153.0,214368,207135,198486,179615,194261.0,221993.0,Country_or_Area
43,Morocco,,504,C,54895,50360,53034,54379,70909.0,88511.0,29024,26264,27233,27543,35738.0,44390.0,25871,24096,25801,26836,35171.0,44121.0,Country_or_Area
44,Sudan,(3),729,B R,1402896,1053396,801883,541994,578363.0,503477.0,696385,525701,403048,275915,294782.0,254530.0,706511,527695,398835,266079,283581.0,248947.0,Country_or_Area
45,Tunisia,,788,C,37984,37867,36446,35040,43172.0,56701.0,18900,19045,18523,18000,22236.0,29351.0,19084,18822,17923,17040,20936.0,27350.0,Country_or_Area
46,Western Sahara,,732,I,2688,2989,3289,3891,4493.0,5179.0,1465,1651,1837,2224,2612.0,3059.0,1223,1338,1452,1667,1881.0,2120.0,Country_or_Area
47,Southern Africa,,913,,1392359,1191582,1222314,1439426,2203306.0,3435194.0,840899,714194,721814,837071,1276957.0,2040742.0,551460,477388,500500,602355,926349.0,1394452.0,Region
48,Botswana,,72,C,27510,40168,57064,88829,120912.0,160644.0,16614,23517,32891,49695,66692.0,87873.0,10896,16651,24173,39134,54220.0,72771.0,Country_or_Area
49,Lesotho,,426,C R,8240,7204,6167,6290,6414.0,6572.0,4318,3827,3335,3402,3469.0,3558.0,3922,3377,2832,2888,2945.0,3014.0,Country_or_Area
50,Namibia,,516,B,120641,115372,134403,106274,102405.0,93888.0,63748,61310,72509,57034,55054.0,50687.0,56893,54062,61894,49240,47351.0,43201.0,Country_or_Area
51,South Africa,,710,B R,1163883,1003807,1001825,1210936,1943099.0,3142511.0,717227,611083,600032,712219,1135886.0,1882276.0,446656,392724,401793,498717,807213.0,1260235.0,Country_or_Area
52,Swaziland,,748,B R,72085,25031,22855,27097,30476.0,31579.0,38992,14457,13047,14721,15856.0,16348.0,33093,10574,9808,12376,14620.0,15231.0,Country_or_Area
53,Western Africa,,914,,4470503,5410742,5090860,5295046,5918053.0,6618514.0,2392339,2865785,2700930,2817734,3158865.0,3535629.0,2078164,2544957,2389930,2477312,2759188.0,3082885.0,Region
54,Benin,,204,C B R,76212,104971,133730,171499,209267.0,245399.0,40092,55858,71624,93882,116139.0,137662.0,36120,49113,62106,77617,93128.0,107737.0,Country_or_Area
55,Burkina Faso,,854,B R,349657,434848,520039,596972,673904.0,704676.0,167836,209117,250399,285542,320684.0,335328.0,181821,225731,269640,311430,353220.0,369348.0,Country_or_Area
